Product Name,Product ID,Processor Type,Generation,RAM,Storage,Graphics,Display,Price
Lenovo IdeaPad D330 10IGL Intel CDC N4020 4GB RAM 128GB eMMC 10.1 Inch HD IPS Touch Display Mineral Grey Laptop, 33.01.200.965,Intel Celeron,Not Applicable,4GB,128GB eMMC,Shared,10.1,"34,500 "
HP 15s-eq1578AU AMD Athlon Silver 3050U 8GB  256GB SSD 15.6 Inch FHD Display Silver Laptop, 33.01.020.1490,AMD Athlon,Not Applicable,8GB,256GB SSD,Shared,15.6,"46,500 48,900 "
"Acer Aspire 3 A315-510P-38RH (13th Gen Standard) Intel Core i3 N305 8GB RAM, 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop", 33.01.002.1029,Core i3,13th Standard (Intel),8GB,512GB SSD,Shared,15.6,"49,800 53,000 "
Lenovo IdeaPad 1 15ADA7 AMD Ryzen 3 3250U 8GB RAM 512GB SSD 15.6 Inch FHD Display Cloud Grey Laptop, 33.01.200.1009,Ryzen 3,Not Applicable,8GB,512GB SSD,Shared,15.6,"49,900 "
Lenovo IdeaPad Slim 3i 15ITL 11th Gen Intel Core i3 1115G4 4GB RAM 256GB SSD 15.6 Inch FHD Display Arctic Grey Laptop, 33.01.200.1036,Core i3,11th (Intel),4GB,256GB SSD,Shared,15.6,"51,400 "
Acer Aspire 3 A315-24P AMD Ryzen 3 7320U 8GB RAM 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop#UN.KDESI.027, 33.01.002.1035,Ryzen 3,Not Applicable,8GB,512GB SSD,Shared,15.6,"53,000 "
Lenovo IdeaPad 1 15AMN7 AMD Ryzen 3 7320U 8GB RAM 512GB SSD 15.6 Inch FHD Display Sand Laptop, 33.01.200.1093,Ryzen 3,Not Applicable,8GB,512GB SSD,Shared,15.6,"53,400 "
HP 15s-fq5486TU Intel Core i3 1215U 4GB RAM 256GB SSD 15.6 Inch FHD Display Black Laptop, 33.01.020.1464,Core i3,12th (Intel),4GB,256GB SSD,Shared,15.6,"56,500 "
Acer Aspire 3 A315-59-390P Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop, 33.01.002.996,Core i3,12th (Intel),8GB,512GB SSD,Shared,15.6,"57,000 "
"Acer Aspire 3 A315-59-332B Intel Core i3 1215U 8GB RAM, 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop #NX.K6TSI.00H/UN.K6TSI.024", 33.01.002.1030,Core i3,12th (Intel),8GB,512GB SSD,Shared,15.6,"57,500 "
Huawei MateBook D 15 Intel Core i3 1115G4 8GB RAM 256GB SSD 15.6 Inch FHD Display Silver Laptop, 33.03.487.06,Core i3,11th (Intel),8GB,256GB SSD,Shared,15.6,"60,500 "
Dell Inspiron 15 3520 Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Platinum Silver Laptop, 33.01.013.1625,Core i3,12th (Intel),8GB,512GB SSD,Shared,15.6,"60,500 "
Acer Aspire Lite AL15-41 AMD Ryzen 5 5500U 8GB RAM 512GB SSD 15.6 Inch FHD Display Titanium Gray Laptop, 33.01.002.1021,Ryzen 5,Not Applicable,8GB,512GB SSD,Shared,15.6,"61,000 64,500 "
Acer Aspire 5 5P-A515-58P Intel Core i3 1305U 8GB RAM 512GB SSD 15.6 Inch FHD Display Steel Gray Laptop, 33.01.002.999,Core i3,13th (Intel),8GB,512GB SSD,Shared,15.6,"61,500 "
Acer Aspire Lite AL15-51 Intel Core i5 1155G7 8GB RAM 512GB SSD 15.6 Inch FHD Display Titanium Gray Laptop, 33.01.002.1020,Core i5,11th (Intel),8GB,512GB SSD,Shared,15.6,"61,500 65,300 "
Asus VivoBook 15 X1500EA Intel Core i3 1115G4 8GB RAM 1TB HDD 15.6 Inch FHD WV Display Indie Black Laptop, 33.01.006.1628,Core i3,11th (Intel),8GB,1TB HDD,Shared,15.6,"62,800 "
HP 15s-fq5786TU Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Silver Laptop, 33.01.020.1465,Core i3,12th (Intel),8GB,512GB SSD,Shared,15.6,"63,500 "
Asus VivoBook 15 X1502ZA Intel Core i3 1215U 4GB RAM 256GB SSD 15.6 Inch FHD Display Terra Cotta Laptop, 33.01.006.1718,Core i3,12th (Intel),4GB,256GB SSD,Shared,15.6,"63,900 "
Asus X515EA Intel Core i5 1135G7 4GB RAM 1TB HDD 15.6 Inch FHD Display Peacock Blue Laptop, 33.01.006.1660,Core i5,11th (Intel),4GB,1TB HDD,Shared,15.6,"68,500 "
Asus X515EA Intel Core i5 1135G7 4GB RAM 1TB HDD 15.6 Inch FHD Display Slate Grey Laptop #EJ2460W-X515EA, 33.01.006.1661,Core i5,11th (Intel),4GB,1TB HDD,Shared,15.6,"68,500 "
Acer Aspire 3 A315-59-5031 Intel Core i5 1235U 8GB RAM 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop, 33.01.002.1000,Core i5,12th (Intel),8GB,512GB SSD,Shared,15.6,"71,500 "
Dell Latitude 15-3520 Intel Core i5 1135G7 8GB RAM 256GB SSD 15.6 Inch HD Display Black Laptop, 33.01.013.1657,Core i5,11th (Intel),8GB,256GB SSD,Shared,15.6,"73,500 "
Huawei MateBook D 15 Intel Core i5 1135G7 8GB RAM 512GB SSD 15.6 Inch FHD Display Silver Laptop, 33.03.487.04,Core i5,11th (Intel),8GB,512GB SSD,Shared,15.6,"76,000 "
Huawei MateBook B3-520 Intel Core i5 1135G7 8GB RAM 512GB SSD 15.6 Inch FHD Display Space Gray Laptop, 33.03.487.09,Core i5,11th (Intel),8GB,512GB SSD,Shared,15.6,"76,000 "
"Acer Swift Go 14 SFG14-41-R5RB AMD Ryzen 5 7530U 8GB RAM, 512GB SSD 14 Inch FHD Display Pure Silver Laptop", 33.01.002.1024,Ryzen 5,Not Applicable,8GB,512GB SSD,Shared,14,"77,000 "
Acer TravelMate P214-53-72WA Intel Core i7 1165G7 8GB RAM 512GB SSD 14 Inch FHD Display Shale Black Laptop, 33.01.002.966,Core i7,11th (Intel),8GB,512GB SSD,Shared,14,"82,500 "
Lenovo IdeaPad Slim 3 15ABR8 AMD Ryzen 7 7730U 8GB RAM 512GB SSD 15.6 Inch FHD Antiglare IPS Display Arctic Grey Laptop, 33.01.200.1090,Ryzen 7,Not Applicable,8GB,512GB SSD,Shared,15.6,"83,000 88,000 "
Lenovo IdeaPad Slim 3i 15ITL6 Intel Core i7 1165G7 8GB RAM 512GB SSD 15.6 Inch FHD Antiglare Display Arctic Grey Laptop #82H803EUIN-2Y, 33.01.200.1087,Core i7,11th (Intel),8GB,512GB SSD,Shared,15.6,"88,000 "
Dell Inspiron 15 3525 AMD Ryzen 7 5825U 8GB RAM 512GB SSD 15.6 Inch FHD Display Platinum Silver Laptop, 33.01.013.1633,Ryzen 7,Not Applicable,8GB,512GB SSD,Shared,15.6,"88,500 "
MSI Modern 15 A11MU Intel Core i7 1195G7 8GB RAM 512GB SSD 15.6 Inch FHD Display Carbon Gray Laptop, 33.01.033.1245,Core i7,11th (Intel),8GB,512GB SSD,Shared,15.6,"89,500 "
MSI Modern 14 C11M Intel Core i7 1195G7 8GB RAM 512GB SSD 14 Inch FHD Display Classic Black Laptop, 33.01.033.1255,Core i7,11th (Intel),8GB,512GB SSD,Shared,14,"95,000 "
Lenovo IdeaPad Slim 3i 15ITL6 Intel Core i7 1165G7 8GB RAM 512GB SSD 15.6 Inch FHD Antiglare LED Display Abyss Blue Laptop, 33.01.200.1055,Core i7,11th (Intel),8GB,512GB SSD,Shared,15.6,"95,500 "
"Acer Aspire 5 5M-A515-58GM Intel Core i5 1335U 16GB RAM, 512GB SSD 15.6 Inch FHD IPS Display Steel Gray Gaming Laptop", 33.02.002.1036,Core i5,13th (Intel),16GB,512GB SSD,4GB,15.6,"99,500 "
"Acer Swift Go 14 SFG14-71-557P Intel Core i5 13500H 16GB RAM, 512GB SSD 14 Inch 2.8K OLED WQHD Display Sunshiny Gold Laptop", 33.01.002.1025,Core i5,13th (Intel),16GB,512GB SSD,Shared,14,"119,000 "
Gigabyte Gaming G5 KE Intel Core i5 12500H 8GB RAM 512GB SSD 15.6 Inch FHD Display Matte Black Gaming Laptop, 33.02.018.81,Core i5,12th (Intel),8GB,512GB SSD,6GB,15.6,"146,000 "
Lenovo IdeaPad Gaming 3i 15IHU Intel Core i7 11370H 16GB RAM 1TB HDD + 256GB SSD 15.6 Inch FHD Display Shadow Black Gaming Laptop #82K100WFIN-3Y, 33.02.200.1000,Core i7,11th (Intel),16GB,1TB HDD+256GB SSD,4GB,15.6,"118,000 "
Chuwi HeroBook Pro Intel CDC N4020 8GB RAM 256GB SSD 14.1 Inch FHD Display Grey Laptop, 33.01.767.20,Intel Celeron,Not Applicable,8GB,256GB SSD,Shared,14,"28,800 "
Chuwi GemiBook XPro Intel Core N100 8GB RAM 256GB SSD 14.1 Inch FHD Display Grey Laptop, 33.01.767.19,Intel Celeron,12th Standard (Intel),8GB,256GB SSD,Shared,14,"34,900 "
Lenovo IdeaPad Slim 3i 15IGL Intel CDC N4020 4GB RAM 1TB HDD 15.6 Inch HD Display Platinum Grey Laptop, 33.01.200.1059,Core N100,Not Applicable,4GB,1TB HDD,Shared,15.6,"35,000 "
Chuwi GemiBook Plus Intel Core N100 8GB RAM 256GB SSD 15.6 Inch FHD Display Grey Laptop, 33.01.767.18,Intel Celeron,12th Standard (Intel),8GB,256GB SSD,Shared,15.6,"35,900 "
Lenovo IdeaPad Slim 3i 15IGL Intel CDC N4020 4GB RAM 1TB HDD 15.6 Inch HD Antiglare Display Platinum Grey Laptop, 33.01.200.963,Intel Celeron,Not Applicable,4GB,1TB HDD,Shared,15.6,"36,000 "
"Lenovo IdeaPad Slim 1i 15IGL7 Intel CDC N4020 8GB RAM, 256GB SSD 15.6 Inch FHD Display Cloud Grey Laptop", 33.01.200.1158,Intel Celeron,Not Applicable,8GB,256GB SSD,Shared,15.6,"36,500 "
Asus 15 P1511CMA Intel CDC N4020 4GB RAM 1TB HDD 15.6 Inch HD Display Slate Grey Laptop (Carry bag not included), 33.01.006.1599,Intel Celeron,Not Applicable,4GB,1TB HDD,Shared,15.6,"37,500 "
HP 250 G8 Intel CDC N4020 4GB RAM 1TB HDD 15.6 Inch FHD Display Dark Ash Silver Laptop, 33.01.020.1485,Intel Celeron,Not Applicable,4GB,1TB HDD,Shared,15.6,"38,500 "
Asus X415KA Intel CDC N4500 4GB RAM 1TB HDD 14 Inch FHD Display Slate Grey Laptop, 33.01.006.1617,Intel Celeron,Not Applicable,4GB,1TB HDD,Shared,14,"39,500 "
Asus X515MA Intel CDC N4020 4GB RAM 1TB HDD 15.6 Inch FHD Display Transparent Silver Laptop #BQ675W-X515MA, 33.01.006.1487,Intel Celeron,Not Applicable,4GB,1TB HDD,Shared,15.6,"40,500 "
Asus X515KA Intel CDC N4500 4GB RAM 1TB HDD 15.6 Inch FHD Display Transparent Silver Laptop, 33.01.006.1619,Intel Celeron,Not Applicable,4GB,1TB HDD,Shared,15.6,"40,500 "
Asus X515KA Intel CDC N4500 4GB RAM 1TB HDD 15.6 Inch FHD Display Slate Grey Laptop, 33.01.006.1618,Intel Celeron,Not Applicable,4GB,1TB HDD,Shared,15.6,"40,500 "
Asus X515MA Intel CDC N4020 4GB RAM 1TB HDD 15.6 Inch FHD Display Slate Grey Laptop, 33.01.006.1434,Intel Celeron,Not Applicable,4GB,1TB HDD,Shared,15.6,"43,500 "
Asus VivoBook 14 E410MA Intel CDC N4020 4GB RAM 256GB SSD 14 Inch HD Display Blue Laptop, 33.01.006.1554,Core i3,Not Applicable,4GB,256GB SSD,Shared,14,"44,000 "
Acer Extensa 15 EX215-54-34SE Intel Core i3 1115G4 4GB RAM 1TB HDD 15.6 Inch FHD Display Charcoal Black Laptop, 33.01.002.958,Ryzen 3,11th (Intel),4GB,1TB HDD,Shared,15.6,"46,500 "
Asus D415DA AMD Ryzen 3 3250U 4GB RAM 1TB HDD 14 Inch HD Display Slate Grey Laptop, 33.01.006.1600,Ryzen 3,Not Applicable,4GB,1TB HDD,Shared,14,"46,500 "
Asus M515DA AMD Ryzen 3 3250U 4GB RAM 1TB HDD 15.6 Inch HD Display Slate Grey Laptop, 33.01.006.1620,Intel Celeron,Not Applicable,4GB,1TB HDD,Shared,15.6,"46,500 "
Asus E510MA Intel CDC N4020 4GB RAM 512GB SSD 15.6 Inch FHD Display Star Black Laptop #EJ601W-E510MA, 33.01.006.1515,Ryzen 3,Not Applicable,4GB,512GB SSD,Shared,15.6,"47,000 "
"Asus D415DA AMD Ryzen 3 3250U 8GB RAM 1TB HDD 14 Inch HD Display, Slate Grey Laptop", 33.01.006.1773,Ryzen 3,Not Applicable,8GB,1TB HDD,Shared,14,"47,900 "
Chuwi MiniBook X 2 in 1 Intel Core N100 12GB RAM 512GB SSD 10.5 Inch FHD+ WUXGA Touch Display Grey Laptop, 33.01.767.21,Ryzen 3,12th Standard (Intel),12GB,512GB SSD,Shared,10.5,"47,900 "
Asus D515DA AMD Ryzen 3 3250U 4GB RAM 512GB SSD 15.6 Inch FHD Display Slate Grey Laptop #EJ1325W-D515DA, 33.01.006.1506,Core i5,Not Applicable,4GB,512GB SSD,Shared,15.6,"48,900 "
Asus D515DA AMD Ryzen 3 3250U 4GB RAM 512GB SSD 15.6 Inch FHD Display Slate Grey Laptop #D515DA-EJ1576W, 33.01.006.1644,Core i3,Not Applicable,4GB,512GB SSD,Shared,15.6,"48,900 "
Chuwi UBook X 2 in 1 Intel Core i5 10210Y 8GB RAM 256GB SSD 12 Inch 2K Touch Display Grey Laptop, 33.01.767.22,Ryzen 3,10th (Intel),8GB,256GB SSD,Shared,12,"49,900 "
Lenovo IdeaPad Slim 3i 15ITL6 Core i3 1115G4 4GB RAM 1TB HDD 15.6 Inch FHD Display Arctic Grey Laptop, 33.01.200.1047,Core i3,11th (Intel),4GB,1TB HDD,Shared,15.6,"52,900 "
Lenovo IdeaPad 1 15AMN7 AMD Ryzen 3 7320U 8GB RAM 512GB SSD 15.6 Inch FHD Display Cloud Grey Laptop, 33.01.200.1092,Core i3,Not Applicable,8GB,512GB SSD,Shared,15.6,"53,400 "
Acer Aspire 3 A315-510P (13th Gen Standard) Intel Core i3 N305 8GB RAM 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop, 33.01.002.987,Core i3,13th Standard (Intel),8GB,512GB SSD,Shared,15.6,"54,000 "
HP 15s-du3611TU Intel Core i3 1125G4 4GB RAM 1TB HDD 15.6 Inch FHD Display Jet Black Laptop, 33.01.020.1396,Ryzen 3,11th (Intel),4GB,1TB HDD,Shared,15.6,"55,500 "
MSI Modern 14 C11M Intel Core i3 1115G4 8GB RAM 512GB SSD 14 Inch FHD Display Classic Black Laptop#9S7-14J312-242, 33.01.033.1258,Core i3,11th (Intel),8GB,512GB SSD,Shared,14,"56,000 "
"Dell Inspiron 15 3535 AMD Ryzen 3 7320U 8GB RAM, 256GB SSD 15.6 Inch FHD Display Carbon Black Laptop", 33.01.013.1669,Core i3,Not Applicable,8GB,256GB SSD,Shared,15.6,"56,000 "
HP 250 G8 Intel Core i3 1115G4 4GB RAM 1TB HDD 15.6 Inch FHD Display Ash Silver Laptop, 33.01.020.1486,Core i3,11th (Intel),4GB,1TB HDD,Shared,15.6,"56,500 "
"Lenovo IdeaPad Slim 3i 14IAU7 Intel Core i3 1215U 8GB RAM, 256GB SSD 14 Inch FHD Display Misty Blue Laptop", 33.01.200.1143,Core i3,12th (Intel),8GB,256GB SSD,Shared,14,"56,500 "
Lenovo IdeaPad Slim 3i 14ITL Intel Core i3 1115G4 8GB RAM 256GB SSD 14 Inch FHD Display Arctic Grey Laptop, 33.01.200.986,Core i3,11th (Intel),8GB,256GB SSD,Shared,14,"56,900 "
HP 240 G8 Intel Core i3 1115G4 8GB RAM 1TB HDD 14 Inch FHD Display Ash Laptop, 33.01.020.1424,Core i3,11th (Intel),8GB,1TB HDD,Shared,14,"57,500 "
HP 250 G8 Intel Core i3 1115G4 8GB RAM 1TB HDD 15.6 Inch FHD Display Silver Laptop, 33.01.020.1499,Core i3,11th (Intel),8GB,1TB HDD,Shared,15.6,"57,500 "
Lenovo IdeaPad Slim 3i 15ITL6 Intel Core i3 1115G4 8GB RAM 512GB SSD 15.6 Inch FHD Display Arctic Grey Laptop, 33.01.200.1107,Ryzen 3,11th (Intel),8GB,512GB SSD,Shared,15.6,"57,500 "
Lenovo IdeaPad Slim 3i 14ITL6 Intel Core i3 1115G4 8GB RAM 512GB SSD 14 Inch FHD Display Arctic Grey Laptop, 33.01.200.1108,Ryzen 5,11th (Intel),8GB,512GB SSD,Shared,14,"57,500 "
HP 255 G8 AMD Ryzen 3 5300U 8GB RAM 1TB HDD 15.6 Inch FHD Display Dark Ash Silver Laptop, 33.01.020.1527,Core i5,Not Applicable,8GB,1TB HDD,Shared,15.6,"57,500 "
Acer Aspire 3 A315-24P AMD Ryzen 5 7520U 8GB RAM 15.6 Inch FHD Display Pure Silver Laptop, 33.01.002.1037,Core i5,Not Applicable,8GB,512GB SSD,Shared,15.6,"58,000 "
"Infinix INBOOK Y2 Plus Intel Core i5 1155G7 8GB RAM, 512GB SSD 15.6 Inch FHD Display Silver Laptop", 33.01.937.01,Core i3,11th (Intel),8GB,512GB SSD,Shared,15.6,"58,990 "
"Infinix INBOOK Y2 Plus Intel Core i5 1155G7 8GB RAM, 512GB SSD 15.6 Inch FHD Display Grey Laptop", 33.01.937.02,Core i3,11th (Intel),8GB,512GB SSD,Shared,15.6,"58,990 "
Lenovo V15 Gen 3 Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Iron Grey Laptop, 33.01.200.1118,Core i3,12th (Intel),8GB,512GB SSD,Shared,15.6,"59,500 "
"Lenovo IdeaPad Slim 3i 14IAU7 Intel Core i3 1215U 8GB RAM, 512GB SSD 14 Inch FHD Display Arctic Grey Laptop", 33.01.200.1144,Core i3,12th (Intel),8GB,512GB SSD,Shared,14,"59,500 "
"Lenovo IdeaPad Slim 3i 15IAU7 Intel Core i3 1215U 8GB RAM, 512GB SSD 15.6 Inch FHD Display Abyss Blue Laptop", 33.01.200.1145,Core i3,12th (Intel),8GB,512GB SSD,Shared,15.6,"59,500 "
Dell Inspiron 15 3520 Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Carbon Black Laptop, 33.01.013.1626,Core i3,12th (Intel),8GB,512GB SSD,Shared,15.6,"60,500 "
Lenovo IdeaPad Slim 3i 14ITL6 Intel Core i3 1115G4 8GB RAM 512GB SSD 14 Inch FHD Antiglare Display Arctic Grey Laptop, 33.01.200.1065,Core i3,11th (Intel),8GB,512GB SSD,Shared,14,"61,000 "
Chuwi CoreBook XPro Intel Core i3 1215U 16GB RAM 512GB SSD 15.6 Inch FHD Display Grey Laptop, 33.01.767.17,Core i3,12th (Intel),16GB,512GB SSD,Shared,15.6,"61,000 "
"Asus VivoBook 15 X1500EA Intel Core i3 1115G4 8GB RAM, 1TB HDD + 256GB SSD 15.6 Inch FHD Display Indie Black Laptop", 33.01.006.1807,Core i5,11th (Intel),8GB,1TB HDD+256GB SSD,Shared,15.6,"61,800 "
