Product Name,Processor Type,RAM,Storage,Display,Price
"Lenovo IdeaPad D330 10IGL Celeron N4020 10.1"" HD Detachable 2-in-1 Touch Laptop","Intel Celeron N4020 (4M Cache,1.10 GHz up to 2.80 GHz)",4GB DDR4 , 128GB eMMC SSD,"10.1"" (1280 x 800) HD Touchscreen","34,500"
"Lenovo IdeaPad 1 14AMN7 AMD Ryzen 5 14"" FHD Laptop with DDR5 RAM",AMD Ryzen 5 7520U (2.8 GHz up to 4.3 GHz),"8GB DDR5 5500MHz, ", 256GB  SSD,"14"" FHD (1920X1080)","60,500"
"MSI Modern 14 C12M Core i3 12th Gen 14"" FHD Laptop","Intel Core i3-1215U (10M Cache, 3.30 GHz, up to 4.40 GHz)","8GB 3200MHz, ", 512GB SSD,"14"" FHD (1920 x 1080)","59,999"
"Acer Extensa 14 EX214-53-543W Core i5 12th Gen 14"" FHD Laptop","Intel Core i5-1240P Processor (12M Cache, up to 4.40 GHz)","8GB DDR4, ", 512GB SSD,"14"" FHD (1920 x 1080)","79,999"
Apple MacBook Pro 14 inch M3 Chip Liquid Retina Display 8GB RAM 512GB SSD Silver #MR7J3,"Apple M3 chip with 8-core CPU, 10-core GPU, 16-core Neural Engine","8GB, ", 512GB SSD,"14.2"" Liquid Retina display (3024 x 1664)","228,000"
"Lenovo IdeaPad 1 14AMN7 AMD Ryzen 5 14"" FHD Sand Laptop",AMD Ryzen 5 7520U (2.8 GHz up to 4.3 GHz),"8GB DDR5 5500MHz, ", 256GB  SSD,"14"" FHD (1920X1080)","60,500"
"Lenovo IdeaPad 1 14AMN7 AMD Ryzen 5 512GB SSD 14"" FHD Laptop (Sand Color)",AMD Ryzen 5 7520U (2.8 GHz up to 4.3 GHz),"8GB DDR5 5500MHz, ", 512GB  SSD,"14"" FHD (1920X1080)","63,000"
"Lenovo IdeaPad Gaming 3 15ARH7 Ryzen 5 7535HS RTX 4050 6GB Graphics 15.6"" FHD Laptop","AMD Ryzen 5 7535HS (3.3GHz up to 4.55GHz, 6 cores)","8GB DDR5, ", 512GB SSD ,"15.6"" FHD (1920X1080)","124,000"
"MSI GF63 THIN 12UC Core i5 12th Gen RTX 3050 4GB Graphics 15.6"" FHD 144hz Gaming Laptop","Intel Core i5-12450H (12M Cache, 3.30 GHz up to 4.40 GHz)","8GB DDR4 3200MHz, ", 512GB NVMe PCIe SSD,"15.6"" FHD( 1920 x 1080)","96,500"
"Lenovo IdeaPad 1 15AMN7 AMD Ryzen 5 512GB SSD 15.6"" FHD Laptop with DDR5 RAM",AMD Ryzen 5 7520U (2.8 GHz up to 4.3 GHz),"8GB DDR5 5500MHz, ", 512GB M.2 NVMe SSD,"15.6"" FHD( 1920 x 1080)","63,500"
